3 1000
-10822.971680 42343.632812 2357.588379
13919.771484 23770.068359 7138.952637

25823.359375 -9358.638672 74271.976562
-10424.484375 42722.132812 2308.228271
13149.563477 22873.923828 7093.429199

25368.703125 -9454.410156 74602.640625
-10010.042969 43086.957031 2262.838379
12340.788086 22009.751953 7041.573730

24911.455078 -9545.773438 74926.109375
-9580.329102 43437.164062 2221.442383
11495.128906 21179.917969 6983.328125

24451.662109 -9632.761719 75242.390625
-9136.108398 43771.863281 2184.049805
10614.473633 20386.662109 6918.667969

23989.369141 -9715.408203 75551.484375
-8678.220703 44090.230469 2150.656250
9700.902344 19632.068359 6847.603516

23524.619141 -9793.745117 75853.398438
-8207.576172 44391.507812 2121.242432
8756.666016 18918.046875 6770.180664

23057.457031 -9867.804688 76148.140625
-7725.145508 44675.011719 2095.774658
7784.170410 18246.312500 6686.480469

22587.923828 -9937.618164 76435.718750
-7231.950195 44940.152344 2074.204834
6785.949219 17618.369141 6596.617188

22116.064453 -10003.214844 76716.140625
-6729.054199 45186.421875 2056.471680
5764.639648 17035.498047 6500.738770

21641.917969 -10064.624023 76989.421875
-6217.551758 45413.402344 2042.500732
4722.956543 16498.748047 6399.023926

